Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0278144086012687,-0.0466302007370476,0.0746205848081645,0,0,0,2.43388412546145,0.127933662055774,1.11817455412393E-13,7.51434901028233E-22,0.0719772644881071,7.83297418163838E-18,0.199892695922271,0,0,0,0,0,0,package://agrotech/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agrotech/meshes/base_link.STL,,upper chassis-2;pipe assembly-1/mount attachment-1;pipe assembly-2/mount attachment-1;pipe assembly-3/mount attachment-1;pipe assembly-4/mount attachment-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
servo1,-1.54227759036063E-13,-0.0152868337606683,0.000551204936858479,0,0,0,0.0303271186946437,7.28536670103264E-06,-1.09037758261216E-17,3.84839280818097E-18,4.96635932119684E-06,1.31875888200491E-07,4.20230574068574E-06,0,0,0,0,0,0,package://agrotech/meshes/servo1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agrotech/meshes/servo1.STL,,servo-3,Origin_servo1,Axis_servo1,servo1,fixed,-0.0278144086012686,0.00345136739364775,0.0953454730961518,1.5707963267949,0,-1.5707963267949,base_link,0,0,0,0,0,0,0,,,,,,,,
gimbal1,0.0047842713515303,-1.46505552281995E-05,0.00668625706028879,0,0,0,0.0146312085277861,4.64051174557552E-06,-1.23127593070161E-09,-9.31957636179444E-07,4.23843122166083E-06,2.85387174264428E-09,6.34329608825593E-06,0,0,0,0,0,0,package://agrotech/meshes/gimbal1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agrotech/meshes/gimbal1.STL,,gimble holder1-2,Origin_gimbal12,Axis_gimbal12,gimbal1,revolute,0,-0.0358999999999998,0.01,1.5707963267949,1.5707963267949,0,servo1,0,0,1,0,0,0,0,,,,,,,,
servo2,-1.53807522274008E-13,0.0152884523412999,-0.000505921829480263,0,0,0,0.0303271186946223,7.28536670103263E-06,1.09138595401051E-17,-3.82259101575566E-18,4.96554449461614E-06,1.34213103357257E-07,4.20312056726643E-06,0,0,0,0,0,0,package://agrotech/meshes/servo2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agrotech/meshes/servo2.STL,,servo-4,Origin_servo2,Axis_servo2,servo2,fixed,-0.000500000000000417,0,0.0200000000000006,1.5707963267949,1.5707963267949,0,gimbal1,0,0,0,,,,,,,,,,,,
gimbal2,0.00756573125404989,0,0.00664188890564304,0,0,0,0.00396592924888974,3.72276371248275E-07,-3.58918837665587E-23,-1.17696841768386E-07,4.43534060484544E-07,-1.65436122510606E-24,3.65712778202683E-07,0,0,0,0,0,0,package://agrotech/meshes/gimbal2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agrotech/meshes/gimbal2.STL,,gimble holder2-1,Origin_gimbal2,Axis_gimbal2,gimbal2,revolute,0,0.0359306906417623,-0.00989154984420124,3.10302512335118,-0.00306222376575281,1.57079632679491,servo2,1,0,0,0,0,0,0,,,,,,,,
nozzle,2.08166817117217E-17,0.0164934476324591,3.46944695195361E-18,0,0,0,0.00299063507754682,2.40869236298093E-07,-6.26589314008918E-23,5.61901205167857E-24,4.80071134345321E-08,-7.16028217741215E-24,2.40869236298093E-07,0,0,0,0,0,0,package://agrotech/meshes/nozzle.STL,0.647058823529412,0.517647058823529,0,1,0,0,0,0,0,0,package://agrotech/meshes/nozzle.STL,,nozzel-2,Origin_nozzle,Axis_nozzle,nozzle,continuous,0.014999765570373,0,0,1.5707963267949,0,-1.49068178771826,gimbal2,0,1,0,,,,,,,,,,,,
left front pipe,3.22783522133108E-10,-0.164991490690961,-0.00241370094081267,0,0,0,0.131831663458726,0.00185675866576065,5.72364909923268E-12,-8.34100748583519E-13,2.39248351730733E-05,3.48608685778335E-06,0.00185559184267335,0,0,0,0,0,0,package://agrotech/meshes/left front pipe.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agrotech/meshes/left front pipe.STL,,pipe assembly-2/pipe-1;pipe assembly-2/mount assembly-1/mount attachment-1;pipe assembly-2/mount assembly-1/motor mount-1,Origin_left front pipe,Axis_left front pipe,left front pipe,fixed,-0.277814408601269,0.303451367393648,-0.429654526903848,-1.5707963267949,0,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
left front motor,0.0264217879651259,-0.000228267939510529,-1.3413437027765E-11,0,0,0,0.053387038279178,7.29093828416783E-06,-4.02022790168304E-07,-1.26622678057816E-14,2.23213074160553E-05,-2.2442903436181E-14,2.23721496312344E-05,0,0,0,0,0,0,package://agrotech/meshes/left front motor.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agrotech/meshes/left front motor.STL,,pipe assembly-2/Motor - Johnson-1,Origin_left front motor,Axis_left front motor,left front motor,fixed,0,0.0299999999999997,-0.0194999999999989,0,-1.5707963267949,0,left front pipe,0,0,0,,,,,,,,,,,,
left front wheel,3.05311331771918E-16,-1.88737914186277E-15,0.043586562879544,0,0,0,1.89335281832218,0.00776519925463663,-8.23993651088983E-18,-5.94277850644407E-18,0.00776519925463662,7.1192312114174E-18,0.0138316054368445,0,0,0,0,0,0,package://agrotech/meshes/left front wheel.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://agrotech/meshes/left front wheel.STL,,wheel-2/tire-2;wheel-2/coupler-1,Origin_left front wheel,Axis_left front wheel,left front wheel,continuous,-0.0100000000000037,-0.00649519052838332,0,-1.57079632679489,1.04719755119658,1.5707963267949,left front motor,0,0,1,,,,,,,,,,,,
right front pipe,3.22783522133108E-10,0.164991490690961,0.00241370094081264,0,0,0,0.131831663458726,0.00185675866576065,-5.72364912202251E-12,8.34100764832238E-13,2.39248351730733E-05,3.48608685778339E-06,0.00185559184267334,0,0,0,0,0,0,package://agrotech/meshes/right front pipe.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://agrotech/meshes/right front pipe.STL,,pipe assembly-4/pipe-1;pipe assembly-4/mount assembly-1/mount attachment-1;pipe assembly-4/mount assembly-1/motor mount-1,Origin_right front pipe,Axis_right front pipe,right front pipe,fixed,0.222185591398731,0.303451367393648,-0.429654526903848,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
